rank,s1,s2,ntasks
0, 8, 1, 38
0, 28, 12, 418
0, 33, 25, 585
0, 48, 19, 1159
0, 62, 17, 1952
0, 74, 67, 2800
0, 88, 35, 3613
0, 102, 97, 4601
0, 116, 79, 5735
0, 126, 75, 6369
0, 132, 51, 7675
0, 137, 133, 8377
0, 147, 91, 9518
0, 151, 78, 9612
0, 167, 109, 11934
0, 175, 15, 10756
0, 177, 106, 14094
0, 179, 16, 14359
0, 180, 104, 14627
537, 22, 2, 256
537, 36, 23, 688
537, 45, 0, 1020
537, 67, 33, 2290
537, 88, 28, 3644
537, 102, 44, 4209
537, 107, 52, 5008
537, 115, 70, 5785
537, 127, 110, 7087
537, 139, 6, 8527
537, 142, 63, 8966
537, 148, 92, 9792
537, 157, 137, 11128
537, 161, 140, 11717
537, 166, 159, 12057
537, 178, 22, 9261
537, 181, 9, 14334
536, 51, 33, 1347
536, 66, 60, 2250
536, 70, 60, 2524
536, 80, 9, 3108
536, 85, 8, 3315
536, 93, 46, 3867
536, 96, 22, 4005
536, 109, 99, 5162
536, 119, 56, 5850
536, 128, 49, 7069
536, 133, 26, 7342
536, 141, 9, 8803
536, 147, 117, 9690
536, 154, 57, 9981
536, 163, 75, 11874
536, 170, 131, 13046
536, 176, 155, 13960
536, 181, 91, 14753
438, 27, 9, 387
438, 35, 11, 640
438, 67, 66, 2323
438, 72, 72, 2661
438, 93, 9, 3765
438, 101, 39, 4477
438, 116, 80, 5867
438, 121, 101, 6440
438, 131, 84, 7579
438, 141, 112, 8894
438, 146, 73, 9028
438, 155, 120, 10798
438, 158, 5, 11152
438, 168, 166, 12751
339, 43, 37, 973
339, 64, 1, 2060
339, 74, 24, 2750
339, 85, 66, 3290
339, 89, 80, 3741
339, 101, 80, 4490
339, 111, 48, 4588
339, 121, 100, 6439
339, 126, 116, 6927
339, 135, 121, 8092
339, 146, 1, 8874
339, 152, 111, 8549
339, 157, 80, 11066
339, 159, 135, 11420
339, 175, 47, 13645
339, 179, 179, 14522
378, 40, 2, 821
378, 59, 9, 1761
378, 70, 34, 2498
378, 88, 30, 3465
378, 101, 46, 4431
378, 110, 38, 5223
378, 116, 21, 5659
378, 122, 5, 6449
378, 129, 90, 6912
378, 137, 108, 8319
378, 148, 33, 9322
378, 156, 129, 10932
378, 162, 111, 11858
378, 169, 131, 12880
378, 172, 143, 13401
378, 176, 68, 13855
378, 180, 88, 14611
246, 28, 19, 425
246, 42, 7, 900
246, 69, 28, 2422
246, 81, 9, 3208
246, 89, 79, 3740
246, 102, 69, 4552
246, 116, 66, 5453
246, 121, 48, 6374
246, 133, 107, 7828
246, 142, 60, 8989
246, 145, 61, 9369
246, 151, 93, 10084
246, 155, 139, 10817
246, 159, 55, 8582
246, 164, 55, 11530
246, 170, 170, 13085
246, 177, 12, 10246
246, 178, 107, 14271
379, 30, 9, 474
379, 42, 33, 927
379, 57, 40, 1675
379, 88, 39, 3656
379, 105, 77, 4752
379, 115, 58, 5775
379, 119, 87, 6185
379, 127, 51, 7048
379, 133, 131, 7852
379, 142, 75, 9004
379, 147, 39, 9627
379, 150, 22, 10019
379, 158, 41, 11092
379, 167, 89, 12463
379, 175, 139, 13807
379, 180, 75, 14598
338, 40, 1, 820
338, 59, 18, 1770
338, 76, 67, 2951
338, 85, 38, 3406
338, 91, 59, 3466
338, 99, 44, 4009
338, 105, 26, 4443
338, 112, 106, 5481
338, 116, 26, 5301
338, 127, 127, 7114
338, 146, 113, 9554
338, 157, 0, 10911
338, 161, 27, 11611
338, 162, 145, 11892
338, 167, 130, 12559
338, 171, 61, 13147
338, 174, 139, 13667
406, 31, 10, 506
406, 56, 7, 1585
406, 69, 21, 2415
406, 75, 67, 2875
406, 87, 59, 3571
406, 94, 41, 3317
406, 105, 74, 4404
406, 112, 17, 5372
406, 118, 34, 5588
406, 123, 64, 6648
406, 129, 46, 7290
406, 134, 29, 4832
406, 136, 64, 8103
406, 139, 93, 8614
406, 143, 25, 9097
406, 145, 48, 7815
406, 149, 35, 9920
406, 155, 44, 10428
406, 157, 38, 11029
406, 158, 148, 11297
406, 165, 59, 12258
406, 169, 153, 12902
406, 173, 93, 13438
406, 177, 114, 14102
406, 179, 18, 13975
377, 19, 14, 205
377, 29, 16, 451
377, 50, 26, 1289
377, 56, 15, 1593
377, 65, 56, 2180
377, 95, 48, 4052
377, 103, 96, 4661
377, 117, 74, 5288
377, 124, 106, 6798
377, 130, 97, 7440
377, 136, 74, 8157
377, 138, 91, 8470
377, 142, 68, 8997
377, 144, 99, 8622
377, 150, 17, 10052
377, 156, 7, 10793
377, 162, 9, 11756
377, 165, 127, 12300
377, 172, 2, 13256
377, 175, 88, 13756
377, 179, 155, 14498
26, 26, 19, 370
26, 31, 20, 516
26, 54, 10, 1480
26, 65, 33, 2152
26, 86, 55, 2785
26, 100, 56, 4382
26, 106, 26, 4782
26, 113, 18, 4682
26, 121, 56, 6383
26, 128, 85, 7112
26, 131, 40, 7544
26, 142, 2, 8931
26, 143, 111, 9183
26, 149, 80, 9965
26, 152, 65, 9291
26, 158, 85, 11234
26, 162, 38, 11785
26, 164, 27, 12012
26, 166, 16, 12096
26, 172, 25, 13138
26, 175, 98, 13421
26, 179, 53, 14396
26, 180, 170, 14693
247, 8, 6, 43
247, 36, 13, 678
247, 49, 28, 1241
247, 59, 1, 1753
247, 73, 15, 2677
247, 95, 78, 4057
247, 102, 87, 4591
247, 110, 27, 5165
247, 117, 26, 5498
247, 125, 85, 6425
247, 132, 17, 7640
247, 142, 142, 9071
247, 146, 57, 9100
247, 156, 30, 9050
247, 160, 9, 11455
247, 165, 140, 12327
247, 171, 95, 13181
247, 173, 114, 13517
247, 177, 154, 14129
644, 44, 3, 979
644, 53, 41, 1458
644, 73, 69, 2728
644, 93, 38, 3880
644, 97, 97, 4275
644, 120, 61, 6279
644, 128, 28, 7143
644, 131, 31, 7527
644, 135, 7, 7701
644, 143, 77, 9149
644, 147, 144, 9732
644, 154, 48, 5799
644, 155, 148, 10826
644, 158, 145, 11294
644, 166, 149, 12462
644, 172, 123, 13381
644, 178, 83, 14247
27, 16, 8, 145
27, 30, 1, 466
27, 35, 14, 643
27, 58, 5, 1698
27, 71, 6, 2540
27, 84, 79, 3390
27, 109, 31, 3316
27, 114, 30, 5538
27, 119, 66, 6050
27, 125, 93, 6633
27, 133, 39, 7776
27, 141, 129, 8916
27, 148, 41, 9254
27, 156, 58, 10885
27, 160, 16, 11461
27, 163, 79, 9420
27, 165, 90, 12186
27, 171, 170, 13256
27, 175, 95, 13763
27, 178, 95, 14259
27, 181, 52, 10902
437, 40, 6, 825
437, 62, 45, 1980
437, 80, 78, 2937
437, 87, 36, 3529
437, 95, 28, 4061
437, 100, 89, 4483
437, 109, 37, 4787
437, 120, 89, 6286
437, 127, 44, 7041
437, 134, 116, 7923
437, 142, 130, 9059
437, 144, 56, 6367
437, 147, 90, 9314
437, 153, 61, 10464
437, 158, 86, 11235
437, 165, 8, 12206
437, 167, 162, 12609
437, 171, 130, 13216
437, 173, 128, 13130
437, 177, 121, 14109
437, 180, 8, 14531
19, 16, 7, 144
19, 27, 6, 384
19, 40, 13, 832
19, 68, 67, 2392
19, 73, 13, 2653
19, 89, 75, 2917
19, 109, 2, 4998
19, 116, 27, 5777
19, 122, 72, 6530
19, 128, 32, 7142
19, 129, 127, 7371
19, 139, 37, 8558
19, 146, 101, 7744
19, 152, 96, 10356
19, 161, 17, 11602
19, 164, 157, 12191
19, 167, 39, 12498
19, 172, 165, 13423
19, 176, 110, 13924
738, 26, 3, 354
738, 52, 42, 1406
738, 69, 17, 2411
738, 78, 23, 3018
738, 92, 88, 3873
738, 115, 34, 5751
738, 122, 20, 6437
738, 125, 103, 6187
738, 133, 16, 7756
738, 139, 90, 8609
738, 150, 8, 10043
738, 153, 84, 8464
738, 155, 124, 10708
738, 160, 51, 11433
738, 163, 129, 11109
738, 169, 103, 12800
738, 175, 21, 13262
738, 178, 13, 11592
347, 23, 16, 292
347, 34, 8, 602
347, 57, 27, 1662
347, 64, 31, 2087
347, 71, 71, 2592
347, 120, 80, 6282
347, 122, 88, 6549
347, 127, 24, 5640
347, 131, 85, 7590
347, 136, 73, 8100
347, 141, 128, 8910
347, 146, 71, 8280
347, 153, 21, 10331
347, 156, 101, 9932
347, 163, 66, 11692
347, 168, 57, 9305
347, 172, 26, 13197
347, 177, 81, 14069
347, 179, 3, 13969
732, 18, 6, 178
732, 28, 15, 421
732, 35, 19, 647
732, 60, 49, 1861
732, 72, 12, 2581
732, 81, 13, 3156
732, 97, 81, 4258
732, 105, 65, 4217
732, 116, 110, 5915
732, 125, 108, 6168
732, 136, 131, 8238
732, 141, 15, 8660
732, 147, 14, 9217
732, 149, 25, 9910
732, 151, 8, 10098
732, 155, 106, 10764
732, 157, 109, 11095
732, 163, 86, 11554
732, 169, 135, 12884
732, 175, 79, 13747
732, 180, 168, 14691
407, 46, 34, 1105
407, 51, 44, 1358
407, 67, 0, 2257
407, 77, 49, 3005
407, 90, 61, 3702
407, 110, 45, 5045
407, 116, 86, 5891
407, 128, 87, 7201
407, 131, 104, 7609
407, 135, 115, 8086
407, 146, 81, 9521
407, 152, 46, 10176
407, 157, 145, 11136
407, 161, 149, 11734
407, 163, 153, 12023
407, 172, 90, 13348
407, 180, 65, 14587
18, 16, 6, 143
18, 35, 21, 650
18, 53, 51, 1468
18, 57, 31, 1666
18, 69, 9, 2403
18, 77, 26, 2987
18, 88, 80, 3697
18, 102, 36, 4168
18, 107, 13, 4736
18, 120, 107, 6325
18, 124, 77, 6731
18, 136, 51, 8158
18, 138, 10, 8356
18, 142, 129, 9058
18, 146, 134, 9575
18, 158, 137, 11286
18, 165, 11, 12022
18, 171, 138, 13224
18, 174, 36, 11785
18, 178, 8, 13983
18, 180, 94, 14617
518, 36, 2, 667
518, 47, 42, 1160
518, 69, 18, 2412
518, 80, 46, 3145
518, 94, 81, 4019
518, 99, 95, 4389
518, 106, 23, 4643
518, 111, 45, 5175
518, 123, 80, 6664
518, 128, 66, 7076
518, 130, 9, 7383
518, 134, 106, 7950
518, 138, 46, 8428
518, 140, 15, 8305
518, 149, 112, 9997
518, 153, 9, 10427
518, 157, 155, 11146
518, 160, 38, 11479
518, 163, 118, 10917
518, 167, 102, 11696
518, 171, 169, 13255
518, 174, 8, 12875
518, 179, 100, 14443
518, 181, 108, 14744
436, 7, 1, 30
436, 43, 41, 977
436, 75, 6, 2814
436, 87, 18, 3360
436, 98, 46, 4121
436, 106, 67, 4861
436, 112, 18, 4348
436, 116, 32, 5744
436, 123, 3, 6571
436, 133, 80, 7428
436, 138, 120, 8502
436, 141, 23, 8125
436, 144, 116, 8737
436, 155, 136, 10814
436, 158, 51, 11200
436, 161, 110, 11457
436, 165, 36, 12229
436, 167, 135, 12535
436, 176, 64, 8111
436, 177, 120, 14108
436, 179, 12, 14006
557, 52, 39, 1403
557, 59, 21, 1773
557, 66, 3, 2193
557, 76, 11, 2892
557, 88, 65, 3645
557, 106, 58, 4869
557, 113, 50, 5451
557, 118, 29, 3788
557, 121, 80, 6410
557, 125, 47, 6847
557, 135, 78, 7588
557, 148, 36, 9739
557, 152, 104, 9306
557, 157, 66, 11057
557, 159, 71, 10469
557, 170, 103, 13016
557, 178, 176, 14340
348, 12, 3, 82
348, 43, 38, 974
348, 52, 5, 1334
348, 66, 17, 2207
348, 75, 20, 2825
348, 85, 50, 3256
348, 88, 17, 3630
348, 102, 85, 4589
348, 110, 95, 5273
348, 115, 80, 5797
348, 120, 45, 6263
348, 124, 92, 6645
348, 138, 84, 8466
348, 145, 81, 9388
348, 149, 124, 10009
348, 155, 41, 9539
348, 159, 111, 10807
348, 171, 129, 13215
348, 175, 115, 13783
348, 179, 171, 14514
551, 6, 6, 28
551, 43, 30, 965
551, 60, 55, 1867
551, 74, 41, 2714
551, 88, 69, 3686
551, 103, 69, 4619
551, 115, 78, 5793
551, 128, 35, 7084
551, 135, 45, 7975
551, 144, 20, 6470
551, 148, 95, 9831
551, 152, 145, 10412
551, 164, 50, 11307
551, 166, 2, 12096
551, 172, 38, 13296
551, 175, 140, 13748
509, 33, 22, 581
509, 44, 15, 995
509, 65, 14, 2138
509, 78, 21, 3059
509, 93, 44, 3712
509, 96, 48, 4150
509, 115, 73, 5790
509, 125, 120, 6901
509, 137, 1, 8087
509, 139, 109, 8630
509, 148, 127, 9863
509, 158, 77, 11226
509, 165, 76, 12275
509, 168, 81, 12667
509, 174, 114, 13645
509, 179, 41, 14241
376, 49, 35, 1248
376, 74, 3, 2735
376, 86, 66, 3350
376, 96, 29, 4062
376, 114, 63, 5623
376, 121, 35, 6364
376, 131, 70, 7540
376, 142, 48, 8973
376, 148, 38, 9774
376, 151, 145, 10310
376, 159, 68, 11359
376, 164, 85, 11993
376, 167, 26, 10715
376, 171, 50, 12954
376, 173, 21, 13017
376, 177, 57, 13398
376, 181, 121, 14789
556, 44, 28, 1008
556, 54, 37, 1508
556, 59, 35, 1787
556, 71, 20, 2539
556, 89, 88, 3749
556, 110, 75, 4778
556, 118, 1, 5414
556, 121, 54, 6393
556, 126, 52, 6934
556, 133, 1, 7033
556, 138, 113, 8495
556, 142, 81, 9006
556, 144, 26, 8350
556, 152, 149, 10416
556, 158, 2, 11151
556, 161, 95, 11674
556, 163, 38, 11910
556, 167, 76, 12400
556, 171, 75, 13156
556, 174, 154, 11703
556, 179, 20, 13970
556, 180, 120, 14643
266, 38, 11, 751
266, 51, 8, 1322
266, 67, 65, 2322
266, 78, 12, 3031
266, 100, 22, 4168
266, 109, 27, 5058
266, 118, 20, 5211
266, 122, 53, 6514
266, 125, 39, 6840
266, 136, 7, 8027
266, 138, 132, 8514
266, 143, 94, 9166
266, 147, 105, 9693
266, 150, 120, 10155
266, 154, 87, 10614
266, 159, 80, 10965
266, 164, 73, 12087
266, 170, 140, 13055
266, 179, 103, 14446
510, 35, 33, 662
510, 75, 1, 2809
510, 80, 16, 3113
510, 86, 43, 3148
510, 100, 95, 4489
510, 105, 9, 4682
510, 113, 98, 5586
510, 121, 55, 6330
510, 131, 59, 7564
510, 140, 23, 6968
510, 144, 57, 7000
510, 148, 100, 9833
510, 152, 69, 10359
510, 160, 151, 11571
510, 170, 39, 12954
510, 176, 81, 13895
510, 180, 155, 14678
550, 24, 19, 319
550, 48, 15, 1180
550, 61, 55, 1928
550, 87, 12, 3359
550, 95, 61, 4094
550, 100, 59, 4420
550, 108, 66, 4444
550, 115, 9, 5726
550, 121, 98, 6352
550, 128, 109, 7193
550, 135, 87, 8059
550, 141, 50, 8726
550, 145, 112, 9420
550, 149, 13, 9888
550, 155, 17, 10694
550, 158, 18, 11074
550, 168, 114, 12700
550, 174, 172, 13698
234, 35, 25, 654
234, 42, 27, 921
234, 60, 52, 1864
234, 66, 26, 2216
234, 72, 70, 2659
234, 96, 23, 4066
234, 107, 95, 5053
234, 112, 40, 5114
234, 119, 48, 5906
234, 134, 41, 5016
234, 136, 108, 8150
234, 141, 29, 8011
234, 146, 61, 9502
234, 155, 114, 10792
234, 158, 30, 10954
234, 162, 162, 11909
234, 165, 88, 12287
234, 169, 137, 12886
234, 172, 120, 13378
234, 176, 78, 8083
234, 177, 126, 14056
234, 180, 31, 14438
519, 15, 8, 129
519, 34, 26, 620
519, 64, 15, 2074
519, 71, 8, 2542
519, 85, 31, 2889
519, 93, 14, 3239
519, 97, 21, 4005
519, 104, 89, 4741
