rank,ntasks
0.0,280591.0
295.0,321275.0
101.0,309506.0
102.0,339988.0
20.0,320495.0
31.0,287092.0
32.0,304331.0
294.0,240228.0
238.0,247791.0
380.0,302847.0
239.0,257351.0
35.0,242030.0
36.0,232193.0
214.0,291724.0
210.0,239573.0
85.0,297636.0
213.0,308233.0
88.0,266620.0
332.0,246450.0
84.0,229127.0
40.0,305259.0
314.0,261339.0
272.0,261038.0
41.0,268353.0
89.0,280221.0
180.0,263883.0
313.0,243983.0
299.0,237822.0
384.0,274414.0
79.0,280465.0
333.0,293809.0
21.0,264021.0
298.0,254848.0
347.0,291220.0
383.0,284481.0
348.0,224933.0
22.0,230972.0
140.0,246832.0
209.0,268767.0
43.0,265549.0
55.0,278974.0
316.0,225763.0
315.0,286846.0
187.0,263454.0
42.0,276524.0
204.0,267529.0
203.0,219585.0
329.0,289086.0
200.0,290887.0
328.0,294194.0
357.0,292543.0
188.0,297540.0
90.0,300221.0
138.0,306463.0
91.0,278903.0
54.0,248195.0
324.0,257924.0
353.0,237902.0
83.0,321670.0
279.0,257669.0
271.0,290842.0
136.0,266886.0
139.0,274202.0
82.0,266434.0
254.0,288889.0
253.0,223699.0
325.0,206964.0
336.0,204559.0
337.0,338360.0
252.0,318470.0
250.0,311258.0
358.0,272814.0
359.0,247316.0
52.0,215663.0
46.0,213570.0
354.0,250256.0
362.0,293555.0
95.0,267468.0
94.0,283754.0
47.0,268628.0
165.0,185732.0
72.0,223862.0
255.0,243096.0
143.0,228427.0
307.0,248906.0
340.0,356629.0
184.0,275571.0
57.0,267303.0
311.0,250400.0
310.0,265414.0
56.0,292891.0
53.0,260585.0
51.0,290100.0
231.0,250315.0
234.0,293397.0
230.0,257796.0
251.0,225968.0
50.0,299166.0
235.0,291690.0
158.0,231066.0
75.0,240725.0
160.0,343372.0
317.0,263457.0
166.0,278633.0
137.0,323631.0
125.0,235914.0
113.0,247003.0
159.0,246736.0
196.0,246946.0
157.0,317038.0
76.0,274692.0
17.0,268434.0
142.0,291279.0
141.0,220197.0
304.0,303319.0
179.0,257481.0
178.0,265594.0
133.0,234862.0
124.0,267507.0
363.0,278990.0
114.0,238401.0
29.0,289124.0
318.0,231494.0
30.0,250915.0
150.0,352636.0
151.0,261227.0
39.0,322646.0
77.0,265386.0
280.0,292545.0
16.0,258311.0
296.0,217876.0
274.0,277242.0
45.0,315748.0
208.0,254808.0
303.0,287730.0
33.0,232505.0
132.0,247218.0
281.0,255621.0
227.0,262847.0
173.0,316497.0
