rank,ntasks
0.0,523057.0
1.0,528904.0
2.0,509188.0
3.0,504213.0
4.0,515677.0
5.0,428304.0
6.0,480700.0
7.0,505615.0
8.0,516701.0
9.0,443287.0
10.0,454676.0
11.0,453076.0
12.0,457453.0
13.0,464324.0
14.0,453780.0
15.0,462967.0
16.0,491675.0
17.0,505904.0
18.0,505384.0
19.0,504509.0
20.0,443219.0
21.0,451516.0
22.0,556103.0
23.0,527290.0
24.0,488129.0
25.0,493453.0
26.0,478431.0
27.0,532366.0
28.0,473110.0
29.0,463713.0
30.0,516310.0
31.0,475108.0
32.0,491696.0
33.0,275760.0
34.0,532359.0
35.0,445495.0
36.0,452402.0
37.0,484136.0
38.0,517116.0
39.0,425637.0
40.0,460406.0
41.0,464307.0
42.0,495124.0
43.0,465725.0
44.0,519369.0
45.0,469379.0
46.0,523499.0
47.0,516165.0
48.0,449666.0
49.0,417898.0
50.0,486934.0
51.0,445759.0
52.0,445959.0
53.0,474228.0
54.0,494942.0
55.0,479119.0
56.0,547645.0
57.0,488467.0
58.0,502542.0
59.0,485873.0
60.0,452356.0
61.0,567933.0
62.0,492401.0
63.0,450982.0
64.0,469659.0
65.0,499569.0
66.0,488119.0
67.0,542013.0
68.0,444573.0
69.0,521586.0
70.0,483520.0
71.0,508641.0
72.0,486304.0
73.0,502463.0
74.0,531834.0
75.0,430959.0
76.0,477972.0
77.0,464201.0
78.0,521015.0
79.0,484310.0
80.0,492247.0
81.0,498450.0
82.0,451831.0
83.0,503297.0
84.0,563761.0
85.0,481664.0
86.0,456706.0
87.0,470841.0
88.0,566138.0
89.0,500759.0
90.0,492479.0
91.0,506752.0
92.0,478600.0
93.0,463210.0
94.0,525372.0
95.0,513672.0
96.0,457929.0
97.0,483609.0
98.0,400305.0
99.0,450027.0
100.0,574534.0
101.0,522217.0
102.0,488654.0
103.0,472999.0
104.0,521393.0
105.0,472415.0
106.0,503183.0
107.0,524954.0
108.0,489286.0
109.0,469568.0
110.0,544968.0
111.0,490372.0
112.0,437909.0
113.0,447766.0
114.0,483379.0
115.0,424437.0
116.0,508940.0
117.0,508700.0
118.0,517224.0
119.0,525979.0
120.0,537306.0
121.0,524614.0
122.0,438448.0
123.0,467250.0
124.0,486896.0
125.0,421981.0
126.0,498420.0
127.0,499633.0
128.0,513289.0
129.0,284028.0
130.0,488261.0
131.0,498635.0
132.0,490321.0
133.0,538521.0
134.0,478996.0
135.0,480977.0
136.0,491680.0
137.0,544265.0
138.0,491033.0
139.0,451057.0
140.0,461071.0
141.0,522739.0
142.0,471393.0
143.0,441519.0
144.0,468929.0
145.0,490859.0
146.0,489598.0
147.0,511575.0
148.0,566930.0
149.0,565242.0
150.0,434047.0
151.0,537018.0
152.0,480183.0
153.0,496753.0
154.0,484932.0
155.0,455031.0
156.0,547581.0
157.0,493864.0
158.0,517018.0
159.0,457936.0
160.0,488610.0
161.0,532719.0
162.0,471394.0
163.0,531664.0
164.0,479866.0
165.0,510065.0
166.0,541299.0
167.0,504738.0
168.0,454824.0
169.0,492226.0
170.0,502277.0
171.0,517545.0
172.0,456001.0
173.0,492470.0
174.0,532995.0
175.0,540128.0
176.0,453197.0
177.0,493053.0
178.0,506478.0
179.0,495512.0
180.0,516906.0
181.0,491947.0
182.0,472247.0
183.0,463684.0
184.0,490880.0
185.0,442400.0
186.0,533380.0
187.0,490528.0
188.0,464483.0
189.0,446110.0
190.0,530576.0
191.0,462877.0
192.0,504396.0
193.0,445036.0
194.0,411992.0
195.0,260319.0
196.0,501477.0
197.0,532553.0
198.0,464995.0
199.0,561073.0
200.0,481012.0
201.0,458939.0
202.0,481756.0
203.0,501879.0
204.0,493900.0
205.0,477952.0
206.0,523270.0
207.0,500399.0
208.0,487020.0
209.0,530112.0
210.0,438430.0
211.0,494243.0
212.0,399463.0
213.0,504168.0
214.0,528355.0
215.0,504317.0
216.0,432066.0
217.0,550127.0
218.0,487704.0
219.0,522544.0
